,Age,Gender,Home Language,Father Occupation,Mother Occupation,Number Of Siblings,Father Education,Mother Education,School Distance,Means to school,House Lighting,School Infrustructure,School Meal per day,School Cost,GPA,Family income source,Class Label,Bangla,English,Math,Science,History,Social Science,Religious Study,Family Annual income,Extra Tution,Hours of study per day
226,10-13 years,female,Native Language,Immigrant,Business,Two Children,primary,Honors/Equivalent ,2-3 km,Bicycle/motorbike,Other,Teaching facilities,None,Mediam,2.5,Remittance,Yes,67,48,22,72,59,56,26,600000,Yes,2 hours
227,10-13 years,female,Native Language,Business,Freelancer,None,primary,secondary,2-3 km,Rickshaw,Other,Water,None,Low,2.68,Own business,No,25,22,90,75,43,34,86,850000,Yes,2 hours
228,10-13 years,female,Bangla,Immigrant,Public sector,Two Children,secondary,secondary,1-2 km,School Bus/Bus,Electricity,Teaching facilities,Once,Low,2.16,Remittance,Yes,39,48,68,50,40,35,23,100000,No,1 hours
229,13-15 years,female,Native Language,Public sector,Worker,Two Children,secondary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Toilet,None,High,2.49,Formal Wage,Yes,24,76,34,28,75,69,43,180000,No,1 hours
230,13-15 years,female,Native Language,Private sector,Home maker,Three Children,secondary,None,0-0.5 km,Walk,Other,Water,None,Mediam,2.61,Casual Wage,No,30,47,65,30,81,35,78,400000,Yes,2 hours
231,15-18 years,female,Native Language,Worker,Business,Two Children,secondary,primary,6-7 km,School Bus/Bus,Electricity,Toilet,Once,High,2.88,Casual Wage,No,39,84,65,85,21,77,32,750000,Yes,2 hours
232,13-15 years,female,Bangla,Agriculture,Home maker,Two Children,Masters/ Equivalent and above,Honors/Equivalent ,0.5-1 km,Rickshaw,Electricity,Teaching facilities,Once,High,3.17,Farming,No,74,33,51,84,88,68,46,850000,Yes,3 hours
233,10-13 years,female,Bangla,Worker,Home maker,Four or more,primary,secondary,0.5-1 km,School Bus/Bus,Electricity,Teaching facilities,Once,High,2.68,Casual Wage,No,49,44,66,65,56,25,70,300000,Yes,2 hours
234,10-13 years,female,Bangla,Immigrant,Home maker,Two Children,secondary,primary,0.5-1 km,School Bus/Bus,Other,Water,Once,Mediam,3.07,Remittance,No,21,67,24,92,53,92,81,750000,Yes,3 hours
235,above 18 years,male,Native Language,Private sector,Public sector,Four or more,Honors/ Equivalent ,secondary,1-2 km,School Bus/Bus,Electricity,Toilet,None,High,2.84,Casual Wage,No,71,86,37,55,53,34,62,100000,No,2 hours
236,13-15 years,male,Bangla,Immigrant,Home maker,Two Children,secondary,secondary,0-0.5 km,Walk,Electricity,Toilet,Once,Mediam,2.57,Remittance,Yes,76,60,36,47,28,68,45,650000,Yes,2 hours
237,13-15 years,male,Native Language,Immigrant,Home maker,Two Children,None,secondary,0-0.5 km,Walk,Electricity,Toilet,None,Mediam,2.85,Remittance,No,60,55,67,62,65,52,38,800000,Yes,2 hours
238,10-13 years,male,Bangla,Worker,Home maker,Three Children,secondary,secondary,0-0.5 km,Rickshaw,Electricity,Teaching facilities,Once,Mediam,3.05,Casual Wage,No,24,87,58,36,68,68,86,800000,Yes,3 hours
239,13-15 years,female,Bangla,Immigrant,Home maker,None,Masters/ Equivalent and above,primary,4-5 km,School Bus/Bus,Electricity,Toilet,None,Low,2.96,Remittance,No,87,72,20,43,28,82,83,900000,Yes,2 hours
240,13-15 years,female,Bangla,Worker,Home maker,Three Children,secondary,None,2-3 km,Private car,Electricity,Toilet,None,Low,2.62,Casual Wage,No,52,61,65,38,49,23,79,100000,No,2 hours
241,10-13 years,female,Native Language,Immigrant,Home maker,Two Children,primary,secondary,1-2 km,Bicycle/motorbike,Electricity,Electricity,Once,High,2.84,Remittance,No,69,28,72,38,77,70,44,200000,Yes,2 hours
242,10-13 years,male,Native Language,Public sector,Home maker,None,primary,None,0-0.5 km,Private car,Other,Teaching facilities,None,Mediam,3.2,Formal Wage,No,81,66,83,69,84,22,43,500000,Yes,3 hours
243,10-13 years,female,Bangla,Agriculture,Home maker,None,secondary,secondary,6-7 km,Bicycle/motorbike,Electricity,Electricity,None,High,2.66,Farming,No,83,79,21,66,23,75,26,450000,Yes,2 hours
244,13-15 years,female,Native Language,Agriculture,Home maker,None,secondary,Honors/Equivalent ,2-3 km,Bicycle/motorbike,Other,Toilet,None,High,2.81,Farming,No,74,52,54,70,46,62,35,700000,Yes,2 hours
245,10-13 years,female,English,Freelancer ,Home maker,None,secondary,None,0-0.5 km,Private car,Electricity,Teaching facilities,None,High,2.48,Own business,Yes,69,21,38,50,47,32,90,200000,Yes,1 hours
246,13-15 years,male,Native Language,Immigrant,Home maker,Three Children,secondary,primary,0-0.5 km,Rickshaw,Electricity,Teaching facilities,None,Mediam,2.55,Remittance,Yes,71,64,33,36,20,74,59,400000,Yes,2 hours
247,13-15 years,male,Native Language,Agriculture,Home maker,Two Children,primary,secondary,4-5 km,Walk,Paraffin,Water,Once,High,2.52,Farming,Yes,83,30,62,42,71,27,38,850000,Yes,2 hours
248,13-15 years,female,Native Language,Private sector,Freelancer,None,Honors/ Equivalent ,secondary,0-0.5 km,Bicycle/motorbike,Paraffin,Teaching facilities,Once,High,2.14,Casual Wage,Yes,65,45,50,23,28,27,62,100000,No,1 hours
249,13-15 years,female,Native Language,Freelancer ,Worker,Two Children,Masters/ Equivalent and above,primary,4-5 km,Walk,Other,Toilet,Once,High,3.21,Own business,No,54,80,55,79,73,54,55,600000,Yes,3 hours
250,13-15 years,female,Bangla,Agriculture,Home maker,None,Masters/ Equivalent and above,primary,2-3 km,Walk,Electricity,Water,Once,Low,2.81,Farming,No,88,72,29,20,76,38,71,850000,Yes,2 hours
251,13-15 years,female,Native Language,Business,Agriculture,None,primary,secondary,0-0.5 km,Rickshaw,Paraffin,Teaching facilities,Once,Mediam,2.37,Own business,Yes,39,34,34,60,30,67,68,180000,No,1 hours
252,13-15 years,female,Native Language,Unemployed,Home maker,Two Children,secondary,primary,>7 km,Walk,Paraffin,Teaching facilities,None,Mediam,2.29,Pansion,Yes,63,32,25,88,29,36,48,300000,Yes,1 hours
253,13-15 years,male,Native Language,Public sector,Home maker,None,secondary,Honors/Equivalent ,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,2.95,Formal Wage,No,38,49,68,52,73,56,77,150000,No,2 hours
254,10-13 years,male,Native Language,Business,Agriculture,None,primary,primary,0.5-1 km,Rickshaw,Electricity,Toilet,None,High,2.58,Own business,Yes,78,28,68,33,84,37,33,200000,Yes,2 hours
255,13-15 years,male,Bangla,Freelancer ,Immigrant,None,secondary,secondary,2-3 km,School Bus/Bus,Electricity,Toilet,None,Mediam,3.13,Own business,No,60,73,85,45,44,70,61,550000,Yes,3 hours
256,above 18 years,male,Native Language,Immigrant,Home maker,None,Masters/ Equivalent and above,secondary,>7 km,Walk,Electricity,Teaching facilities,None,High,3.2,Remittance,No,48,46,63,92,73,39,87,550000,Yes,3 hours
257,13-15 years,male,Bangla,Worker,Home maker,Two Children,secondary,secondary,0-0.5 km,Walk,Electricity,Teaching facilities,Once,High,3.86,Casual Wage,No,63,92,86,62,62,87,89,150000,No,above 3 hours
258,13-15 years,female,Native Language,Immigrant,Agriculture,None,primary,primary,0.5-1 km,Rickshaw,Electricity,Teaching facilities,None,Mediam,3.24,Remittance,No,54,81,27,59,79,64,90,600000,Yes,3 hours
259,13-15 years,female,Native Language,Private sector,Home maker,Three Children,primary,secondary,0.5-1 km,Private car,Electricity,Electricity,None,Mediam,2.54,Casual Wage,Yes,38,59,30,43,90,54,42,700000,Yes,2 hours
260,13-15 years,male,Native Language,Immigrant,Public sector,Three Children,Honors/ Equivalent ,None,0.5-1 km,Walk,Electricity,Teaching facilities,Once,High,3.38,Remittance,No,53,44,55,89,62,89,81,350000,Yes,3 hours
261,13-15 years,female,Native Language,Unemployed,Worker,None,primary,secondary,0-0.5 km,School Bus/Bus,Electricity,Water,None,High,3.42,Pansion,No,37,72,71,81,80,61,77,900000,Yes,3 hours
262,13-15 years,female,Bangla,Public sector,Home maker,Four or more,Honors/ Equivalent ,primary,0-0.5 km,Private car,Electricity,Toilet,None,High,3.06,Formal Wage,No,86,40,30,82,70,75,45,150000,No,3 hours
263,13-15 years,male,Native Language,Private sector,Home maker,Three Children,secondary,Honors/Equivalent ,1-2 km,School Bus/Bus,Electricity,Teaching facilities,Once,Mediam,2.79,Casual Wage,No,64,66,55,35,62,41,68,700000,Yes,2 hours
264,10-13 years,female,Bangla,Business,Business,Four or more,primary,secondary,0-0.5 km,Private car,Electricity,Teaching facilities,None,Mediam,2.89,Own business,No,42,86,35,34,68,63,77,750000,Yes,2 hours
265,10-13 years,female,Native Language,Public sector,Agriculture,Two Children,Honors/ Equivalent ,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Toilet,Once,Mediam,2.77,Formal Wage,No,48,86,84,62,32,20,56,450000,Yes,2 hours
266,13-15 years,male,Bangla,Public sector,Home maker,Two Children,None,secondary,1-2 km,Rickshaw,Electricity,Toilet,None,High,2.89,Formal Wage,No,47,89,40,78,46,62,42,300000,Yes,2 hours
267,13-15 years,male,Native Language,Private sector,Home maker,Two Children,primary,secondary,4-5 km,Bicycle/motorbike,Electricity,Toilet,Once,High,3.0,Casual Wage,No,30,34,90,91,65,57,53,300000,Yes,3 hours
268,10-13 years,male,Native Language,Worker,Public sector,Three Children,primary,None,6-7 km,School Bus/Bus,Electricity,Teaching facilities,Once,High,2.51,Casual Wage,Yes,40,42,30,74,31,80,54,450000,Yes,2 hours
269,15-18 years,male,Native Language,Public sector,Home maker,None,secondary,secondary,0-0.5 km,Walk,Electricity,Water,None,High,3.13,Formal Wage,No,65,61,83,44,67,42,76,600000,Yes,3 hours
270,10-13 years,male,English,Freelancer ,Worker,Four or more,primary,secondary,4-5 km,Walk,Electricity,Toilet,Once,Low,2.57,Own business,Yes,49,26,32,92,73,62,26,250000,Yes,2 hours
271,13-15 years,male,Native Language,Unemployed,Business,None,secondary,Honors/Equivalent ,1-2 km,Walk,Electricity,Water,None,Mediam,2.88,Pansion,No,69,68,78,57,29,55,47,600000,Yes,2 hours
272,13-15 years,female,Bangla,Private sector,Worker,Four or more,primary,Masters/Equivalent and above,4-5 km,Walk,Electricity,Teaching facilities,None,High,2.46,Casual Wage,Yes,55,22,85,23,24,77,58,300000,Yes,1 hours
273,15-18 years,female,Native Language,Private sector,Home maker,Three Children,primary,secondary,>7 km,Walk,Electricity,Teaching facilities,None,High,3.16,Casual Wage,No,85,35,88,57,30,79,68,450000,Yes,3 hours
274,10-13 years,female,Bangla,Private sector,Agriculture,Three Children,primary,secondary,6-7 km,School Bus/Bus,Other,Toilet,None,Low,3.19,Casual Wage,No,41,78,63,70,78,31,85,450000,Yes,3 hours
275,10-13 years,female,English,Private sector,Home maker,None,primary,secondary,6-7 km,Private car,Electricity,Teaching facilities,None,Mediam,3.31,Casual Wage,No,75,82,77,59,56,63,51,300000,Yes,3 hours
276,10-13 years,male,Native Language,Private sector,Public sector,Four or more,primary,secondary,2-3 km,Walk,Electricity,Toilet,None,High,3.1,Casual Wage,No,31,92,67,36,67,88,53,400000,Yes,3 hours
277,13-15 years,female,Native Language,Worker,Home maker,None,secondary,secondary,2-3 km,School Bus/Bus,Electricity,Teaching facilities,Once,High,2.86,Casual Wage,No,50,49,87,64,66,30,55,750000,Yes,2 hours
278,13-15 years,female,Native Language,Business,Immigrant,None,primary,secondary,2-3 km,Bicycle/motorbike,Electricity,Water,None,Low,1.81,Own business,Yes,20,23,27,34,47,80,22,180000,No,0 to 30 minutes
279,10-13 years,female,Bangla,Public sector,Agriculture,Two Children,primary,Honors/Equivalent ,>7 km,Rickshaw,Electricity,Teaching facilities,None,Low,2.67,Formal Wage,No,70,80,33,31,21,57,82,700000,Yes,2 hours
280,10-13 years,male,Native Language,Immigrant,Home maker,Four or more,primary,secondary,6-7 km,School Bus/Bus,Electricity,Teaching facilities,None,High,2.91,Remittance,No,22,55,26,66,84,67,87,200000,Yes,2 hours
281,13-15 years,female,Native Language,Public sector,Home maker,None,secondary,secondary,1-2 km,School Bus/Bus,Electricity,Teaching facilities,None,High,2.76,Formal Wage,No,82,20,36,27,70,64,87,850000,Yes,2 hours
282,10-13 years,male,Bangla,Private sector,Worker,Two Children,primary,primary,1-2 km,Walk,Electricity,Toilet,Once,High,2.96,Casual Wage,No,46,80,48,62,77,70,32,200000,Yes,2 hours
283,10-13 years,male,Bangla,Public sector,Home maker,Three Children,primary,Honors/Equivalent ,0.5-1 km,Bicycle/motorbike,Other,Water,Once,Mediam,3.16,Formal Wage,No,53,76,85,67,32,57,72,900000,Yes,3 hours
284,13-15 years,male,Native Language,Worker,Agriculture,Two Children,Honors/ Equivalent ,primary,>7 km,Rickshaw,Electricity,Teaching facilities,None,High,2.14,Casual Wage,Yes,38,31,22,87,49,31,41,180000,No,1 hours
285,13-15 years,male,Native Language,Immigrant,Immigrant,Three Children,secondary,secondary,6-7 km,Bicycle/motorbike,Paraffin,Teaching facilities,None,Mediam,2.9,Remittance,No,38,66,36,32,69,91,74,650000,Yes,2 hours
286,10-13 years,female,Bangla,Business,Public sector,Three Children,secondary,secondary,6-7 km,School Bus/Bus,Other,Teaching facilities,Once,Low,2.46,Own business,Yes,46,65,46,20,60,68,39,150000,No,1 hours
287,13-15 years,male,Native Language,Business,Public sector,Four or more,secondary,primary,0.5-1 km,Bicycle/motorbike,Electricity,Toilet,None,Low,2.24,Own business,Yes,60,24,57,34,27,90,21,150000,No,1 hours
288,above 18 years,female,Native Language,Freelancer ,Public sector,Two Children,primary,primary,2-3 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Mediam,1.96,Own business,Yes,58,30,27,30,22,40,67,100000,No,0 to 30 minutes
289,13-15 years,male,Native Language,Freelancer ,Worker,None,primary,secondary,0-0.5 km,Walk,Electricity,Teaching facilities,Once,High,2.45,Own business,Yes,56,65,37,33,90,33,29,180000,No,1 hours
290,10-13 years,female,Bangla,Unemployed,Home maker,Two Children,primary,primary,2-3 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Mediam,2.74,Pansion,No,87,28,39,29,85,65,50,850000,Yes,2 hours
291,10-13 years,male,Native Language,Immigrant,Home maker,None,Masters/ Equivalent and above,primary,>7 km,Walk,Electricity,Water,Once,Mediam,3.31,Remittance,No,89,63,22,92,57,50,91,550000,Yes,3 hours
292,13-15 years,female,Bangla,Private sector,Home maker,None,Masters/ Equivalent and above,primary,0.5-1 km,Walk,Electricity,Toilet,None,High,2.4,Casual Wage,Yes,61,46,27,28,60,91,23,180000,No,1 hours
293,13-15 years,female,Native Language,Business,Home maker,Two Children,Masters/ Equivalent and above,secondary,2-3 km,School Bus/Bus,Electricity,Water,None,Low,2.79,Own business,No,45,68,87,53,43,69,25,300000,Yes,2 hours
294,10-13 years,female,Native Language,Agriculture,Home maker,None,secondary,secondary,4-5 km,Walk,Paraffin,Teaching facilities,Once,High,3.27,Farming,No,65,86,83,26,87,26,85,650000,Yes,3 hours
295,10-13 years,female,Bangla,Private sector,Agriculture,Three Children,None,Honors/Equivalent ,4-5 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,Low,2.36,Casual Wage,Yes,29,54,45,77,66,26,34,180000,No,1 hours
296,13-15 years,male,Native Language,Business,Home maker,None,primary,primary,2-3 km,Bicycle/motorbike,Other,Water,None,Mediam,2.44,Own business,Yes,59,86,22,54,45,36,40,300000,Yes,1 hours
297,13-15 years,male,Bangla,Immigrant,Freelancer,Three Children,None,secondary,1-2 km,School Bus/Bus,Electricity,Toilet,None,Low,3.04,Remittance,No,63,81,89,67,25,23,78,450000,Yes,3 hours
298,15-18 years,male,Bangla,Immigrant,Home maker,Three Children,Masters/ Equivalent and above,secondary,0.5-1 km,School Bus/Bus,Other,Toilet,None,Mediam,3.22,Remittance,No,69,65,45,34,83,91,64,200000,Yes,3 hours
299,10-13 years,female,Bangla,Immigrant,Home maker,Three Children,Masters/ Equivalent and above,secondary,1-2 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,2.74,Remittance,No,23,36,48,78,65,62,72,150000,No,2 hours
300,10-13 years,male,Native Language,Immigrant,Worker,None,secondary,primary,4-5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,3.02,Remittance,No,80,51,91,37,58,64,42,550000,Yes,3 hours
301,15-18 years,male,Bangla,Unemployed,Home maker,None,secondary,Honors/Equivalent ,4-5 km,Walk,Electricity,Toilet,None,Mediam,2.36,Pansion,Yes,37,54,60,49,25,67,38,100000,No,1 hours
302,13-15 years,female,Bangla,Freelancer ,Home maker,None,primary,secondary,6-7 km,Walk,Paraffin,Teaching facilities,None,Mediam,1.99,Own business,Yes,26,27,26,79,66,22,32,150000,No,0 to 30 minutes
303,13-15 years,female,Native Language,Private sector,Immigrant,Three Children,primary,primary,2-3 km,School Bus/Bus,Electricity,Toilet,None,High,2.74,Casual Wage,No,43,24,70,59,63,79,46,850000,Yes,2 hours
304,10-13 years,female,Bangla,Private sector,Home maker,Two Children,None,secondary,4-5 km,Bicycle/motorbike,Electricity,Water,Once,High,2.84,Casual Wage,No,38,78,27,58,72,33,92,750000,Yes,2 hours
305,10-13 years,female,Bangla,Private sector,Home maker,Two Children,primary,secondary,0-0.5 km,Private car,Electricity,Electricity,None,Low,2.69,Casual Wage,No,63,61,33,34,32,76,78,500000,Yes,2 hours
306,10-13 years,male,Native Language,Public sector,Business,Three Children,primary,secondary,0-0.5 km,Rickshaw,Electricity,Toilet,None,High,2.46,Formal Wage,Yes,74,34,53,23,51,47,62,180000,No,1 hours
307,13-15 years,male,Bangla,Freelancer ,Home maker,Three Children,secondary,primary,6-7 km,Bicycle/motorbike,Electricity,Toilet,Once,Low,2.44,Own business,Yes,70,59,34,32,64,34,49,300000,Yes,1 hours
308,15-18 years,female,Bangla,Business,Public sector,Three Children,Masters/ Equivalent and above,primary,0.5-1 km,School Bus/Bus,Electricity,Toilet,None,High,2.63,Own business,No,88,51,27,45,31,75,51,400000,Yes,2 hours
309,15-18 years,male,Native Language,Worker,Immigrant,None,Honors/ Equivalent ,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,None,High,2.93,Casual Wage,No,54,83,41,92,29,75,36,100000,No,2 hours
310,10-13 years,male,Native Language,Business,Home maker,Four or more,primary,secondary,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,Mediam,3.39,Own business,No,66,38,77,71,85,53,85,850000,Yes,3 hours
311,10-13 years,female,Native Language,Worker,Business,Two Children,None,primary,>7 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,2.32,Casual Wage,Yes,29,38,37,27,78,74,42,150000,No,1 hours
312,13-15 years,male,Bangla,Unemployed,Business,Three Children,None,secondary,0.5-1 km,Walk,Other,Water,Once,Low,2.58,Pansion,Yes,64,89,58,21,20,52,57,700000,Yes,2 hours
313,10-13 years,male,Native Language,Immigrant,Worker,Three Children,secondary,primary,2-3 km,Bicycle/motorbike,Other,Water,Once,Mediam,2.94,Remittance,No,20,63,89,87,65,21,66,900000,Yes,2 hours
314,13-15 years,female,Native Language,Private sector,Home maker,None,primary,None,2-3 km,Private car,Electricity,Electricity,Once,Mediam,2.65,Casual Wage,No,21,48,75,26,84,92,25,100000,No,2 hours
315,13-15 years,male,English,Business,Agriculture,Three Children,secondary,secondary,2-3 km,Private car,Paraffin,Water,Once,High,2.51,Own business,Yes,26,37,82,58,33,35,80,250000,Yes,2 hours
316,13-15 years,male,Native Language,Agriculture,Agriculture,Two Children,primary,secondary,2-3 km,School Bus/Bus,Electricity,Toilet,None,Mediam,2.79,Farming,No,22,92,52,28,65,57,74,400000,Yes,2 hours
317,10-13 years,male,Native Language,Public sector,Worker,Three Children,Masters/ Equivalent and above,secondary,6-7 km,School Bus/Bus,Other,Teaching facilities,None,Mediam,2.97,Formal Wage,No,86,73,47,21,82,25,82,250000,Yes,2 hours
318,13-15 years,female,Native Language,Agriculture,Home maker,Two Children,secondary,None,0.5-1 km,Bicycle/motorbike,Other,Toilet,Once,Mediam,2.39,Farming,Yes,33,22,35,90,34,45,76,150000,No,1 hours
319,15-18 years,female,Native Language,Business,Freelancer,Two Children,primary,primary,2-3 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Mediam,2.84,Own business,No,43,37,88,84,82,28,35,350000,Yes,2 hours
320,13-15 years,female,Bangla,Business,Agriculture,Two Children,primary,secondary,0-0.5 km,Bicycle/motorbike,Other,Toilet,Once,Mediam,3.39,Own business,No,35,58,89,52,91,66,84,100000,No,3 hours
321,10-13 years,male,Native Language,Business,Business,None,secondary,None,6-7 km,School Bus/Bus,Electricity,Toilet,None,Low,2.68,Own business,No,91,49,27,47,49,52,60,500000,Yes,2 hours
322,15-18 years,female,Native Language,Worker,Worker,Three Children,secondary,primary,0-0.5 km,Rickshaw,Electricity,Toilet,Once,High,3.03,Casual Wage,No,53,75,82,36,80,62,36,500000,Yes,3 hours
323,10-13 years,male,Bangla,Business,Home maker,Two Children,Masters/ Equivalent and above,primary,0.5-1 km,School Bus/Bus,Paraffin,Water,None,High,2.0,Own business,Yes,53,28,60,21,42,55,21,200000,Yes,1 hours
324,13-15 years,male,Native Language,Business,Worker,None,primary,None,4-5 km,Walk,Electricity,Toilet,None,Mediam,3.15,Own business,No,78,88,55,31,61,38,90,750000,Yes,3 hours
325,10-13 years,female,Bangla,Business,Public sector,None,secondary,secondary,2-3 km,Walk,Electricity,Teaching facilities,None,Mediam,3.01,Own business,No,53,92,30,90,47,63,47,150000,No,3 hours
326,15-18 years,female,Native Language,Agriculture,Home maker,None,Honors/ Equivalent ,Honors/Equivalent ,0-0.5 km,Walk,Other,Teaching facilities,None,Mediam,2.86,Farming,No,26,33,77,92,74,65,33,750000,Yes,2 hours
327,13-15 years,male,Native Language,Private sector,Home maker,Three Children,secondary,secondary,1-2 km,Rickshaw,Electricity,Water,Once,High,2.01,Casual Wage,Yes,26,35,82,42,33,36,28,180000,No,1 hours
328,15-18 years,female,Native Language,Agriculture,Home maker,Three Children,primary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Electricity,Once,Mediam,2.86,Farming,No,59,49,69,54,36,65,69,850000,Yes,2 hours
329,10-13 years,male,Native Language,Private sector,Home maker,None,primary,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,None,High,2.09,Casual Wage,Yes,40,22,43,22,91,42,32,300000,Yes,1 hours
330,10-13 years,female,Native Language,Agriculture,Home maker,None,Masters/ Equivalent and above,secondary,0-0.5 km,Bicycle/motorbike,Other,Teaching facilities,None,Low,2.35,Farming,Yes,29,82,84,28,55,29,22,200000,Yes,1 hours
331,15-18 years,male,Native Language,Agriculture,Home maker,Four or more,Honors/ Equivalent ,secondary,1-2 km,Bicycle/motorbike,Electricity,Toilet,None,High,2.72,Farming,No,25,76,79,41,22,60,78,450000,Yes,2 hours
332,13-15 years,female,Native Language,Immigrant,Home maker,Two Children,secondary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Water,Once,Mediam,3.13,Remittance,No,69,82,54,34,68,62,69,750000,Yes,3 hours
333,13-15 years,male,Native Language,Unemployed,Public sector,Three Children,Masters/ Equivalent and above,Honors/Equivalent ,4-5 km,Rickshaw,Electricity,Teaching facilities,Once,Low,2.94,Pansion,No,33,65,77,92,58,50,37,300000,Yes,2 hours
334,13-15 years,male,Bangla,Worker,Home maker,Three Children,primary,primary,0-0.5 km,School Bus/Bus,Paraffin,Water,None,Mediam,2.66,Casual Wage,No,57,63,20,65,54,88,25,500000,Yes,2 hours
335,10-13 years,female,Native Language,Public sector,Home maker,Three Children,primary,secondary,0.5-1 km,Private car,Electricity,Water,Once,High,2.63,Formal Wage,No,20,22,84,39,74,77,52,500000,Yes,2 hours
336,10-13 years,male,English,Immigrant,Home maker,Two Children,secondary,None,0-0.5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,2.92,Remittance,No,36,76,62,68,47,92,28,850000,Yes,2 hours
337,15-18 years,female,Bangla,Agriculture,Home maker,Four or more,primary,secondary,4-5 km,Rickshaw,Electricity,Teaching facilities,Once,Mediam,3.21,Farming,No,67,79,46,92,42,87,37,250000,Yes,3 hours
338,15-18 years,male,Native Language,Public sector,Home maker,Four or more,secondary,primary,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,High,2.81,Formal Wage,No,88,70,65,32,23,59,56,250000,Yes,2 hours
339,15-18 years,male,Native Language,Worker,Home maker,None,secondary,Honors/Equivalent ,0.5-1 km,Walk,Electricity,Teaching facilities,Once,Low,3.56,Casual Wage,No,91,92,79,44,90,26,77,650000,Yes,above 3 hours
340,10-13 years,male,Bangla,Immigrant,Business,Two Children,secondary,secondary,2-3 km,Private car,Electricity,Teaching facilities,Once,Low,2.14,Remittance,Yes,30,23,81,63,35,30,38,100000,No,1 hours
341,13-15 years,female,Native Language,Immigrant,Home maker,Two Children,secondary,secondary,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,2.69,Remittance,No,28,74,62,20,45,84,63,300000,Yes,2 hours
342,13-15 years,female,Native Language,Freelancer ,Home maker,None,secondary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Mediam,3.11,Own business,No,39,81,55,40,70,73,78,900000,Yes,3 hours
343,10-13 years,female,Bangla,Agriculture,Home maker,Four or more,secondary,secondary,2-3 km,Walk,Electricity,Water,None,High,2.37,Farming,Yes,71,30,92,30,34,42,33,100000,No,1 hours
344,13-15 years,female,Native Language,Private sector,Worker,Two Children,secondary,secondary,0.5-1 km,Bicycle/motorbike,Other,Water,None,High,2.19,Casual Wage,Yes,30,51,40,31,42,83,29,100000,No,1 hours
345,13-15 years,female,Bangla,Worker,Home maker,Four or more,secondary,secondary,2-3 km,Bicycle/motorbike,Electricity,Water,None,High,3.05,Casual Wage,No,47,82,46,88,51,38,75,650000,Yes,3 hours
346,10-13 years,male,Native Language,Business,Worker,Two Children,primary,secondary,4-5 km,Bicycle/motorbike,Other,Toilet,None,High,3.3,Own business,No,52,87,88,28,90,80,37,650000,Yes,3 hours
347,13-15 years,male,Bangla,Freelancer ,Home maker,None,primary,Honors/Equivalent ,6-7 km,Rickshaw,Electricity,Teaching facilities,None,High,2.14,Own business,Yes,22,70,28,38,81,37,23,200000,Yes,1 hours
348,15-18 years,female,Native Language,Freelancer ,Home maker,Three Children,Masters/ Equivalent and above,secondary,1-2 km,Walk,Electricity,Teaching facilities,Once,High,2.76,Own business,No,55,45,45,77,64,42,58,400000,Yes,2 hours
349,13-15 years,female,Native Language,Agriculture,Home maker,None,primary,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,2.37,Farming,Yes,67,90,23,40,52,31,29,200000,Yes,1 hours
350,10-13 years,female,Bangla,Public sector,Freelancer,None,primary,secondary,6-7 km,Walk,Electricity,Toilet,None,Low,3.16,Formal Wage,No,57,75,88,36,33,88,65,850000,Yes,3 hours
351,10-13 years,others,Native Language,Worker,Worker,Two Children,primary,secondary,4-5 km,School Bus/Bus,Other,Water,None,High,2.94,Casual Wage,No,75,82,48,23,66,86,31,800000,Yes,2 hours
352,13-15 years,male,Bangla,Immigrant,Worker,None,secondary,Masters/Equivalent and above,1-2 km,Walk,Electricity,Toilet,None,Mediam,2.84,Remittance,No,77,69,23,53,44,63,68,850000,Yes,2 hours
353,13-15 years,male,Bangla,Immigrant,Home maker,Two Children,primary,primary,6-7 km,Walk,Electricity,Toilet,Once,Low,2.79,Remittance,No,21,81,61,24,45,67,91,350000,Yes,2 hours
354,13-15 years,female,Bangla,Public sector,Immigrant,None,primary,primary,0.5-1 km,Walk,Electricity,Teaching facilities,None,High,2.32,Formal Wage,Yes,74,51,24,27,58,57,34,150000,No,1 hours
